source,identified,matched_inclusion,removed_exclusion,removed_low_foci,included
neurosynth,14371.0,1276.0,262.0,0.0,1014.0
neuroquery,13459.0,4934.0,3551.0,0.0,1383.0
ALL,27830.0,6210.0,3813.0,0.0,2397.0
