// Reference=MNI

// 10388802-1
// Subjects=20
3.0	27.0	-12.0
3.0	51.0	0.0
-9.0	45.0	-6.0
-6.0	-78.0	-24.0
-42.0	-60.0	-27.0
9.0	-69.0	39.0
-30.0	-66.0	45.0
-66.0	-33.0	-9.0
36.0	51.0	-12.0
-30.0	24.0	-6.0
36.0	24.0	-9.0
-30.0	27.0	51.0
-48.0	27.0	27.0
45.0	21.0	-36.0
60.0	3.0	-3.0
-42.0	15.0	21.0
66.0	-39.0	-12.0
63.0	-9.0	0.0
6.0	36.0	27.0
-63.0	-3.0	6.0
3.0	-12.0	42.0
-9.0	45.0	-60.0
42.0	-9.0	-6.0
-63.0	-15.0	6.0
3.0	33.0	-8.0
-12.0	45.0	-6.0
-39.0	-57.0	-24.0
6.0	36.0	27.0
66.0	-6.0	-18.0
1.0	-21.0	27.0
54.0	-66.0	0.0
-30.0	-66.0	45.0
-48.0	-9.0	-3.0
39.0	-63.0	45.0
48.0	27.0	24.0
45.0	18.0	45.0
54.0	-66.0	3.0
-6.0	-48.0	27.0
45.0	-6.0	-6.0
36.0	-60.0	-27.0
-45.0	-78.0	15.0
36.0	24.0	-12.0
33.0	-12.0	-21.0
3.0	-9.0	42.0
57.0	-24.0	21.0
54.0	-66.0	3.0
-48.0	30.0	27.0
-45.0	-9.0	-3.0
-48.0	-60.0	-18.0
-45.0	15.0	18.0
-51.0	24.0	30.0
-36.0	-66.0	39.0
33.0	24.0	48.0
48.0	30.0	21.0
-42.0	45.0	-6.0
-3.0	21.0	42.0
-51.0	27.0	18.0
42.0	39.0	21.0
33.0	21.0	51.0
48.0	30.0	21.0
-42.0	-69.0	12.0
-39.0	12.0	51.0

// 10666559-1
// Subjects=20
30.0	-68.0	44.0
-6.0	6.0	70.0
-58.0	18.0	0.0
-42.0	0.0	56.0
56.0	16.0	-2.0
-58.0	14.0	34.0
-30.0	2.0	64.0
52.0	16.0	30.0
-22.0	-62.0	50.0
-52.0	10.0	34.0
-52.0	-56.0	-18.0
34.0	-64.0	-28.0
46.0	36.0	18.0
-28.0	-74.0	-26.0
34.0	6.0	62.0
-48.0	4.0	30.0
50.0	40.0	20.0
-32.0	-50.0	56.0
42.0	-72.0	22.0
44.0	-68.0	-10.0
56.0	14.0	-2.0
-44.0	28.0	-8.0
28.0	-68.0	44.0
-22.0	56.0	0.0
-30.0	-74.0	20.0
38.0	-48.0	-22.0
-40.0	-80.0	-4.0
-52.0	-54.0	-12.0
32.0	8.0	62.0
-58.0	18.0	0.0

// 11353732-1
// Subjects=20
42.0	-66.0	24.0
42.0	24.0	-39.0
-33.0	18.0	-39.0
33.0	15.0	-36.0
-39.0	18.0	-33.0
-24.0	-12.0	-18.0
-33.0	-18.0	-18.0
3.0	57.0	18.0
63.0	-18.0	-21.0
-57.0	-54.0	24.0
-54.0	-69.0	27.0
30.0	-21.0	-18.0
3.0	-45.0	34.0
-33.0	-27.0	-18.0
-3.0	57.0	3.0
24.0	-81.0	-42.0
-57.0	-54.0	24.0
0.0	-45.0	24.0
-30.0	-72.0	-30.0
-69.0	-6.0	-21.0
33.0	-27.0	-15.0
-66.0	-9.0	-18.0
-27.0	-39.0	-21.0
-48.0	21.0	-24.0
-6.0	-51.0	30.0
-60.0	-6.0	-21.0
-60.0	0.0	-21.0
27.0	-15.0	-21.0
-60.0	-51.0	21.0
0.0	57.0	9.0
36.0	24.0	-36.0
-45.0	21.0	-30.0
