Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Anatomical Label
1,-14.0,-60.0,28.0,3.0902323722839355,40792,Precuneous Cortex
2,-42.0,22.0,18.0,3.0902323722839355,27752,Left Cerebral White Matter
4,-4.0,36.0,32.0,3.0902323722839355,16552,Paracingulate Gyrus
3,-26.0,-24.0,-14.0,3.0902323722839355,15976,Left Hippocampus
5,26.0,-22.0,-16.0,3.0902323722839355,11064,Right Hippocampus
6,42.0,-64.0,34.0,3.0902323722839355,8160,"Lateral Occipital Cortex, superior division"
7,-10.0,-2.0,6.0,2.878161668777466,4584,Left Thalamus
