Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
PositiveTail 1,-18.0,-54.0,16.0,3.2905266,90392
PositiveTail 2,-36.0,28.0,22.0,3.2905266,76168
PositiveTail 3,28.0,-26.0,-14.0,3.2905266,19984
PositiveTail 4,42.0,-60.0,38.0,3.2905266,15896
PositiveTail 5,48.0,22.0,26.0,2.2734346,6968
PositiveTail 6,-8.0,-2.0,6.0,2.1200716,6440
PositiveTail 7,36.0,24.0,-6.0,2.0748549,6360
