,id,PositiveTail 1,PositiveTail 2,PositiveTail 3,PositiveTail 4,PositiveTail 5,PositiveTail 6,PositiveTail 7
0,10388802-1,0.002474779961630702,0.0051084039732813835,0.00166809419170022,0.002813737839460373,0.01179509423673153,3.842685600830009e-06,0.006653917022049427
1,10666559-1,0.001085340161807835,0.0020365803502500057,0.0012819329276680946,0.0037631613668054342,0.0103475172072649,0.0,0.00024653374566696584
2,11353732-1,0.003065715543925762,0.0015985314967110753,0.004106566775590181,0.0049763573333621025,6.204768396855798e-07,0.0,0.00011471232573967427
3,11422456-1,0.00446277903392911,0.004250793252140284,4.893641403214133e-07,6.02945826599921e-09,0.0006280935485847294,0.01568767987191677,0.008123775012791157
4,11502262-1,0.0,0.004966406151652336,0.0,0.0,0.0021945100743323565,0.0,0.010699544101953506
5,11576194-1,0.0006293489132076502,0.0037663886323571205,0.0,0.002477551344782114,0.003360629314556718,0.0,0.003180359024554491
6,11683908-1,0.0,0.001439698040485382,0.0,0.0,0.0,0.0,0.0
7,11698132-1,0.0008270038524642587,0.0016387485666200519,1.9804584638905e-09,0.0,0.0,0.00026112544583156705,0.003058511996641755
8,12139956-1,0.0012431390350684524,0.0007670367485843599,0.0,0.00014175671094562858,0.0,0.0,0.0
9,12183389-1,0.0011675449786707759,0.002067981753498316,0.0029862415976822376,0.0,0.0,2.2212911510166578e-09,0.0
10,12194878-1,3.165128575899345e-11,0.0004722445155493915,6.991257350819069e-09,0.0,0.0,0.00035844100057147443,1.1096210172922838e-08
11,12208009-1,0.0004881643399130553,0.0,0.0001627191959414631,3.441554872551933e-05,0.0,0.0,0.0
12,12417678-1,0.0015430795028805733,0.001787326531484723,0.0028139427304267883,0.0033020961564034224,4.431540219229646e-05,0.0,0.0
13,12417679-1,0.001279517076909542,0.0037497379817068577,0.0020329758990556,0.0006993364077061415,0.0071822465397417545,0.007750250399112701,0.0
14,12457763-1,0.003680350724607706,0.002867572708055377,0.0030844793654978275,0.002927130553871393,0.005027590785175562,0.011215354315936565,0.004392126575112343
15,12566286-1,0.00048087810864672065,0.0,0.0,0.0,0.0,0.0,0.0
16,12713652-1,9.42024344112724e-05,0.0015983739867806435,0.0010165795683860779,0.00027503969613462687,0.00546987634152174,0.0004706756735686213,0.008559211157262325
17,12725759-1,0.001806454500183463,0.0034941204357892275,4.303710738895461e-05,0.0,0.0,0.0,0.0
18,12773617-1,0.0004842250782530755,0.0004324758192524314,0.0,0.0,0.0048243217170238495,8.673401339365228e-07,3.945932621718384e-05
