,id,PositiveTail 1,PositiveTail 2,PositiveTail 3,PositiveTail 4,PositiveTail 5,PositiveTail 6,PositiveTail 7
124,19058792-1,2,6,0,2,0,0,2
125,19074015-1,7,7,0,3,0,1,0
126,19084220-1,6,5,0,0,0,0,0
127,19110014-1,12,7,2,1,3,1,3
128,19146963-1,5,7,1,1,1,1,1
129,19176280-1,11,9,0,1,1,1,2
130,19199424-1,0,0,0,0,0,0,0
131,19240137-1,2,14,0,1,1,2,0
132,19272364-1,12,6,1,2,0,1,1
133,19279244-1,30,9,5,0,0,2,0
134,19281849-1,2,1,0,0,0,0,0
135,19285142-1,9,7,1,3,0,0,1
136,19301994-1,9,5,3,0,0,1,1
137,19383503-1,4,4,2,1,1,2,0
138,19386910-1,2,9,2,1,0,0,1
139,19400677-1,7,8,0,1,0,0,0
140,19413478-1,1,1,0,0,1,0,0
141,19428683-1,5,1,0,1,0,0,0
142,19445606-1,19,5,3,5,0,0,0
143,19457376-1,4,4,0,1,0,1,0
144,19501072-1,5,2,1,0,0,0,0
145,19505443-1,0,1,1,1,0,0,1
146,19524090-1,20,9,4,5,0,0,0
147,19524092-1,23,2,4,4,0,0,0
148,19553452-1,2,0,5,0,0,0,0
149,19553466-1,2,0,0,0,0,0,0
150,19559070-1,0,5,0,0,0,0,0
151,19647800-1,7,10,0,3,0,0,1
152,19674742-1,0,5,0,0,3,0,0
153,19702458-1,2,1,0,0,0,0,0
154,19707568-1,3,3,0,2,3,0,0
155,19720071-1,4,2,4,0,2,0,0
156,19720072-1,18,3,12,0,0,0,0
157,19725251-1,8,8,2,1,0,0,0
158,19732835-1,2,0,2,0,0,0,0
159,19733581-1,1,1,1,0,0,0,0
160,19744566-1,5,2,0,0,0,0,0
161,19786107-1,6,0,4,0,0,0,0
162,19835893-1,6,3,1,2,1,0,0
163,19837173-1,6,8,1,0,0,0,1
164,19837178-1,11,13,6,0,1,3,2
165,19895564-1,11,2,1,0,0,0,0
166,19909817-1,12,8,0,2,0,3,1
167,19925208-1,7,3,3,0,0,1,0
168,19945471-1,5,5,1,0,1,1,1
