,id,PositiveTail 1,PositiveTail 2,PositiveTail 3,PositiveTail 4,PositiveTail 5,PositiveTail 6,PositiveTail 7,PositiveTail 8,PositiveTail 9,PositiveTail 10,PositiveTail 11
0,10388802-1,0.007638078182935715,0.014698158949613571,2.022378424726412e-07,2.3563902686873917e-06,0.010392826981842518,0.004278768319636583,0.009630000218749046,0.019260505214333534,0.005944065283983946,2.0999516436859267e-06,5.094490188639611e-05
1,10666559-1,0.0005676710861735046,0.008194617927074432,9.357087327188651e-11,0.0,6.656258483417332e-05,0.00012720358790829778,0.009410268627107143,2.162744436873254e-07,0.0022178315557539463,0.0,0.0
2,11353732-1,0.006164817605167627,0.0009366011945530772,0.014130053110420704,0.0,0.00948458444327116,0.012665064074099064,0.017046349123120308,0.00011453189654275775,0.0,0.0,0.032208915799856186
3,11683908-1,0.0,0.0057641626335680485,0.0,0.0,2.0309731674217346e-09,0.0,0.0,0.0,0.0,0.0,0.0
4,12821520-1,0.004620164167135954,0.0,0.006442162208259106,0.0,0.0,0.015515604056417942,0.0,0.0,2.4409521870438766e-07,0.0,8.127906125920958e-10
5,15219608-1,0.009410628117620945,0.006000772584229708,0.0013682260178029537,0.00766662647947669,0.01006455160677433,0.0003015479014720768,0.0,0.0,0.0,0.0002884795831050724,3.960999492846895e-07
6,15537676-1,0.0,0.005461265332996845,0.00955147109925747,2.75275124295149e-06,0.005057457368820906,0.009796434082090855,0.0,0.00015718852228019387,1.4191582353717536e-09,0.0,0.0
7,15546700-1,0.0029675073456019163,0.010930873453617096,8.23763639345998e-06,0.004774891771376133,0.006243868265300989,7.677581947973522e-08,0.017448775470256805,0.01710261031985283,6.859197128505912e-06,0.0,0.0
8,15704151-1,0.0,0.0,0.005660477560013533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,15721179-1,0.004780196584761143,0.0014557283138856292,0.009179074317216873,7.024116288611992e-10,0.003571930807083845,0.014505730010569096,0.00037127136602066457,3.1370866793167806e-08,4.967053612858763e-08,2.2794329197495244e-06,0.0
