Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Anatomical Label
2,-2.0,16.0,46.0,6.880631446838379,6968,Paracingulate Gyrus
1,-44.0,6.0,30.0,7.733510494232178,5816,Precentral Gyrus
3,34.0,20.0,2.0,4.977855682373047,2064,Insular Cortex
4,-36.0,18.0,4.0,4.676098346710205,1552,Frontal Opercular Cortex
5,-26.0,-10.0,-18.0,4.347385406494141,864,Left Hippocampus
6,48.0,12.0,32.0,4.108946800231934,472,Right Cerebral Cortex
