Recollection-network node,x,y,z,Nearest ALE peak (mm),ALE z there,Recovered
Left hippocampus,-24,-22,-16,0.0,10.07,yes
Right hippocampus,24,-20,-16,0.0,6.8,yes
Precuneus / posterior cingulate,-6,-58,28,0.0,7.59,yes
Retrosplenial cortex,-4,-52,18,0.0,7.49,yes
Left angular gyrus (lateral parietal),-44,-72,36,0.0,5.51,yes
Medial prefrontal cortex,-4,52,2,0.0,6.52,yes
Left dorsolateral PFC (retrieval control),-44,24,28,0.0,6.41,yes
